album_type,total_tracks,is_playable,external_urls,href,id,images,name,release_date,release_date_precision,type,uri,artists,market,search_type,time_range,extraction_time
album,15,True,{'spotify': 'https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv'},https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv,6DEjYFkNZh67HP7R9PSZvv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b', 'width': 64}]",reputation,2017-11-10,day,album,spotify:album:6DEjYFkNZh67HP7R9PSZvv,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,44,True,{'spotify': 'https://open.spotify.com/album/2KrREEyHxkdFGYAd1DmMdS'},https://api.spotify.com/v1/albums/2KrREEyHxkdFGYAd1DmMdS,2KrREEyHxkdFGYAd1DmMdS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a958d093e94944dd0e7258b2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a958d093e94944dd0e7258b2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a958d093e94944dd0e7258b2', 'width': 64}]",SWAG II,2025-09-05,day,album,spotify:album:2KrREEyHxkdFGYAd1DmMdS,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'}, 'href': 'https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s', 'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'type': 'artist', 'uri': 'spotify:artist:1uNFoZAHBGtllmzznpCI3s'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,100,True,{'spotify': 'https://open.spotify.com/album/54vGSK50oe08qxz2xXECEC'},https://api.spotify.com/v1/albums/54vGSK50oe08qxz2xXECEC,54vGSK50oe08qxz2xXECEC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8e1043df4c08b991aaec9cf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f8e1043df4c08b991aaec9cf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f8e1043df4c08b991aaec9cf', 'width': 64}]",10 Hours of Continuous Rain Sounds for Sleeping,2021-01-22,day,album,spotify:album:54vGSK50oe08qxz2xXECEC,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0QUBaF6Rtta4TTmxYYfzux'}, 'href': 'https://api.spotify.com/v1/artists/0QUBaF6Rtta4TTmxYYfzux', 'id': '0QUBaF6Rtta4TTmxYYfzux', 'name': 'White Noise Radiance', 'type': 'artist', 'uri': 'spotify:artist:0QUBaF6Rtta4TTmxYYfzux'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5nSGBmlgUdqWNExnOX8VtV'}, 'href': 'https://api.spotify.com/v1/artists/5nSGBmlgUdqWNExnOX8VtV', 'id': '5nSGBmlgUdqWNExnOX8VtV', 'name': 'Rain Sounds', 'type': 'artist', 'uri': 'spotify:artist:5nSGBmlgUdqWNExnOX8VtV'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,21,True,{'spotify': 'https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR'},https://api.spotify.com/v1/albums/6Rl6YoCarF2GHPSQmmFjuR,6Rl6YoCarF2GHPSQmmFjuR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cc392813bfd8f63d4d5f4a95', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cc392813bfd8f63d4d5f4a95', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cc392813bfd8f63d4d5f4a95', 'width': 64}]",$ome $exy $ongs 4 U,2025-02-14,day,album,spotify:album:6Rl6YoCarF2GHPSQmmFjuR,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV'}, 'href': 'https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV', 'id': '2HPaUgqeutzr3jx5a9WyDV', 'name': 'PARTYNEXTDOOR', 'type': 'artist', 'uri': 'spotify:artist:2HPaUgqeutzr3jx5a9WyDV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/0l8zYqoUeBYg47Gmevq9HZ'},https://api.spotify.com/v1/albums/0l8zYqoUeBYg47Gmevq9HZ,0l8zYqoUeBYg47Gmevq9HZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739a336bfb6d40bbd90a507417', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029a336bfb6d40bbd90a507417', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519a336bfb6d40bbd90a507417', 'width': 64}]",The Art of Loving,2025-09-26,day,album,spotify:album:0l8zYqoUeBYg47Gmevq9HZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/00x1fYSGhdqScXBRpSj3DW'}, 'href': 'https://api.spotify.com/v1/artists/00x1fYSGhdqScXBRpSj3DW', 'id': '00x1fYSGhdqScXBRpSj3DW', 'name': 'Olivia Dean', 'type': 'artist', 'uri': 'spotify:artist:00x1fYSGhdqScXBRpSj3DW'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,17,True,{'spotify': 'https://open.spotify.com/album/7Lv6VzSqIz1sAssK2JUskG'},https://api.spotify.com/v1/albums/7Lv6VzSqIz1sAssK2JUskG,7Lv6VzSqIz1sAssK2JUskG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f3ba6742a35f111aaea1ca2f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f3ba6742a35f111aaea1ca2f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f3ba6742a35f111aaea1ca2f', 'width': 64}]",$AD BOYZ 4 LIFE II,2023-10-05,day,album,spotify:album:7Lv6VzSqIz1sAssK2JUskG,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is'}, 'href': 'https://api.spotify.com/v1/artists/7Gi6gjaWy3DxyilpF1a8Is', 'id': '7Gi6gjaWy3DxyilpF1a8Is', 'name': 'Junior H', 'type': 'artist', 'uri': 'spotify:artist:7Gi6gjaWy3DxyilpF1a8Is'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,18,True,{'spotify': 'https://open.spotify.com/album/4ryjxzYmf7uFr7QA87IKoz'},https://api.spotify.com/v1/albums/4ryjxzYmf7uFr7QA87IKoz,4ryjxzYmf7uFr7QA87IKoz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9804cbf2de637f09890ffb8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d9804cbf2de637f09890ffb8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d9804cbf2de637f09890ffb8', 'width': 64}]",Tutankamon,2025-07-24,day,album,spotify:album:4ryjxzYmf7uFr7QA87IKoz,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5YqI7p8zYsOpKJtjxYdOce'}, 'href': 'https://api.spotify.com/v1/artists/5YqI7p8zYsOpKJtjxYdOce', 'id': '5YqI7p8zYsOpKJtjxYdOce', 'name': 'Victor Mendivil', 'type': 'artist', 'uri': 'spotify:artist:5YqI7p8zYsOpKJtjxYdOce'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,22,True,{'spotify': 'https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU'},https://api.spotify.com/v1/albums/3OxfaVgvTxUTy7276t7SPU,3OxfaVgvTxUTy7276t7SPU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02982320da137d0de34410df61', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851982320da137d0de34410df61', 'width': 64}]",Hurry Up Tomorrow,2025-01-31,day,album,spotify:album:3OxfaVgvTxUTy7276t7SPU,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,13,True,{'spotify': 'https://open.spotify.com/album/1El3k8dU3sKyoGUeuyrolH'},https://api.spotify.com/v1/albums/1El3k8dU3sKyoGUeuyrolH,1El3k8dU3sKyoGUeuyrolH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27378cba6a1edfe4235def632ed', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0278cba6a1edfe4235def632ed', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485178cba6a1edfe4235def632ed', 'width': 64}]",Breach,2025-09-12,day,album,spotify:album:1El3k8dU3sKyoGUeuyrolH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx'}, 'href': 'https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx', 'id': '3YQKmKGau1PzlVlkL1iodx', 'name': 'Twenty One Pilots', 'type': 'artist', 'uri': 'spotify:artist:3YQKmKGau1PzlVlkL1iodx'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,26,True,{'spotify': 'https://open.spotify.com/album/4xMNn5AFdmBIYiXRbt5YH4'},https://api.spotify.com/v1/albums/4xMNn5AFdmBIYiXRbt5YH4,4xMNn5AFdmBIYiXRbt5YH4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a346fc13b57ac8af62b59c0a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a346fc13b57ac8af62b59c0a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a346fc13b57ac8af62b59c0a', 'width': 64}]",BORONDO,2025-05-15,day,album,spotify:album:4xMNn5AFdmBIYiXRbt5YH4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7a0XAaPaK2aDSqa8p3QnC7'}, 'href': 'https://api.spotify.com/v1/artists/7a0XAaPaK2aDSqa8p3QnC7', 'id': '7a0XAaPaK2aDSqa8p3QnC7', 'name': 'Beéle', 'type': 'artist', 'uri': 'spotify:artist:7a0XAaPaK2aDSqa8p3QnC7'}]",BR,album,2015-2025,2025-10-09 22:00:00
