album_type,total_tracks,is_playable,external_urls,href,id,images,name,release_date,release_date_precision,type,uri,artists,market,search_type,time_range,extraction_time
album,18,True,{'spotify': 'https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq'},https://api.spotify.com/v1/albums/1NAmidJlEaVgA3MpcPFYGq,1NAmidJlEaVgA3MpcPFYGq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647', 'width': 64}]",Lover,2019-08-23,day,album,spotify:album:1NAmidJlEaVgA3MpcPFYGq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,22,True,{'spotify': 'https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO'},https://api.spotify.com/v1/albums/4FftCsAcXXD1nFO9RFUNFO,4FftCsAcXXD1nFO9RFUNFO,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732ea1f035463d11e1fc3b193d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022ea1f035463d11e1fc3b193d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512ea1f035463d11e1fc3b193d', 'width': 64}]",nadie sabe lo que va a pasar mañana,2023-10-13,day,album,spotify:album:4FftCsAcXXD1nFO9RFUNFO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'}, 'href': 'https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X', 'id': '4q3ewBCX7sLwd24euuV69X', 'name': 'Bad Bunny', 'type': 'artist', 'uri': 'spotify:artist:4q3ewBCX7sLwd24euuV69X'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,10,True,{'spotify': 'https://open.spotify.com/album/7mvXPtV4jvA1hp5Wx2FAJA'},https://api.spotify.com/v1/albums/7mvXPtV4jvA1hp5Wx2FAJA,7mvXPtV4jvA1hp5Wx2FAJA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d2eb391e0b3c3bc21c127db6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d2eb391e0b3c3bc21c127db6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d2eb391e0b3c3bc21c127db6', 'width': 64}]",I Barely Know Her,2025-08-22,day,album,spotify:album:7mvXPtV4jvA1hp5Wx2FAJA,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4G9NDjRyZFDlJKMRL8hx3S'}, 'href': 'https://api.spotify.com/v1/artists/4G9NDjRyZFDlJKMRL8hx3S', 'id': '4G9NDjRyZFDlJKMRL8hx3S', 'name': 'sombr', 'type': 'artist', 'uri': 'spotify:artist:4G9NDjRyZFDlJKMRL8hx3S'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,11,True,{'spotify': 'https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j'},https://api.spotify.com/v1/albums/6s84u2TUpR3wdUv4NgKA2j,6s84u2TUpR3wdUv4NgKA2j,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a', 'width': 64}]",SOUR,2021-05-21,day,album,spotify:album:6s84u2TUpR3wdUv4NgKA2j,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG'}, 'href': 'https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG', 'id': '1McMsnEElThX1knmY4oliG', 'name': 'Olivia Rodrigo', 'type': 'artist', 'uri': 'spotify:artist:1McMsnEElThX1knmY4oliG'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,17,True,{'spotify': 'https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I'},https://api.spotify.com/v1/albums/41GuZcammIkupMPKH2OJ6I,41GuZcammIkupMPKH2OJ6I,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02072e9faef2ef7b6db63834a3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3', 'width': 64}]",ASTROWORLD,2018-08-03,day,album,spotify:album:41GuZcammIkupMPKH2OJ6I,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,10,True,{'spotify': 'https://open.spotify.com/album/1jzv3jwZbt8lYfEtMjiD1R'},https://api.spotify.com/v1/albums/1jzv3jwZbt8lYfEtMjiD1R,1jzv3jwZbt8lYfEtMjiD1R,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273979047951fa8b15df9f9e984', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02979047951fa8b15df9f9e984', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851979047951fa8b15df9f9e984', 'width': 64}]",DON'T TAP THE GLASS,2025-07-21,day,album,spotify:album:1jzv3jwZbt8lYfEtMjiD1R,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF'}, 'href': 'https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF', 'id': '4V8LLVI7PbaPR0K2TGSxFF', 'name': 'Tyler, The Creator', 'type': 'artist', 'uri': 'spotify:artist:4V8LLVI7PbaPR0K2TGSxFF'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,21,True,{'spotify': 'https://open.spotify.com/album/5vD5M5VW62LL78Ko8x0CVZ'},https://api.spotify.com/v1/albums/5vD5M5VW62LL78Ko8x0CVZ,5vD5M5VW62LL78Ko8x0CVZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d65c4773bc5061fd27facc5b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d65c4773bc5061fd27facc5b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d65c4773bc5061fd27facc5b', 'width': 64}]",SWAG,2025-07-11,day,album,spotify:album:5vD5M5VW62LL78Ko8x0CVZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'}, 'href': 'https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s', 'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'type': 'artist', 'uri': 'spotify:artist:1uNFoZAHBGtllmzznpCI3s'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,20,True,{'spotify': 'https://open.spotify.com/album/0yY0fT7zibMEffhBJD9Nab'},https://api.spotify.com/v1/albums/0yY0fT7zibMEffhBJD9Nab,0yY0fT7zibMEffhBJD9Nab,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734018a6ba07312ec74af169e6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024018a6ba07312ec74af169e6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514018a6ba07312ec74af169e6', 'width': 64}]",Tropicoqueta,2025-06-20,day,album,spotify:album:0yY0fT7zibMEffhBJD9Nab,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla'}, 'href': 'https://api.spotify.com/v1/artists/790FomKkXshlbRYZFtlgla', 'id': '790FomKkXshlbRYZFtlgla', 'name': 'KAROL G', 'type': 'artist', 'uri': 'spotify:artist:790FomKkXshlbRYZFtlgla'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,15,True,{'spotify': 'https://open.spotify.com/album/1vWMw6pu3err6qqZzI3RhH'},https://api.spotify.com/v1/albums/1vWMw6pu3err6qqZzI3RhH,1vWMw6pu3err6qqZzI3RhH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735a43918ea90bf1e44b7bdcfd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025a43918ea90bf1e44b7bdcfd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515a43918ea90bf1e44b7bdcfd', 'width': 64}]",Ruby,2025-03-07,day,album,spotify:album:1vWMw6pu3err6qqZzI3RhH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/250b0Wlc5Vk0CoUsaCY84M'}, 'href': 'https://api.spotify.com/v1/artists/250b0Wlc5Vk0CoUsaCY84M', 'id': '250b0Wlc5Vk0CoUsaCY84M', 'name': 'JENNIE', 'type': 'artist', 'uri': 'spotify:artist:250b0Wlc5Vk0CoUsaCY84M'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,17,True,{'spotify': 'https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf'},https://api.spotify.com/v1/albums/3mH6qwIy9crq0I9YQbOuDf,3mH6qwIy9crq0I9YQbOuDf,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526', 'width': 64}]",Blonde,2016-08-20,day,album,spotify:album:3mH6qwIy9crq0I9YQbOuDf,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM'}, 'href': 'https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM', 'id': '2h93pZq0e7k5yf4dywlkpM', 'name': 'Frank Ocean', 'type': 'artist', 'uri': 'spotify:artist:2h93pZq0e7k5yf4dywlkpM'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,13,True,{'spotify': 'https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK'},https://api.spotify.com/v1/albums/5EYKrEDnKhhcNxGedaRQeK,5EYKrEDnKhhcNxGedaRQeK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028b58d20f1b77295730db15b4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518b58d20f1b77295730db15b4', 'width': 64}]",eternal sunshine,2024-03-08,day,album,spotify:album:5EYKrEDnKhhcNxGedaRQeK,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR'}, 'href': 'https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR', 'id': '66CXWjxzNUsdJxJ2JdwvnR', 'name': 'Ariana Grande', 'type': 'artist', 'uri': 'spotify:artist:66CXWjxzNUsdJxJ2JdwvnR'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,10,True,{'spotify': 'https://open.spotify.com/album/4E1XUBMTpLO7GpBzUo65Jp'},https://api.spotify.com/v1/albums/4E1XUBMTpLO7GpBzUo65Jp,4E1XUBMTpLO7GpBzUo65Jp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27305ac3e026324594a31fad7fb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0205ac3e026324594a31fad7fb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485105ac3e026324594a31fad7fb', 'width': 64}]",Freudian,2017-08-25,day,album,spotify:album:4E1XUBMTpLO7GpBzUo65Jp,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA'}, 'href': 'https://api.spotify.com/v1/artists/20wkVLutqVOYrc0kxFs7rA', 'id': '20wkVLutqVOYrc0kxFs7rA', 'name': 'Daniel Caesar', 'type': 'artist', 'uri': 'spotify:artist:20wkVLutqVOYrc0kxFs7rA'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,14,True,{'spotify': 'https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj'},https://api.spotify.com/v1/albums/4yP0hdKOZPNshxUOjY0cZj,4yP0hdKOZPNshxUOjY0cZj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36', 'width': 64}]",After Hours,2020-03-20,day,album,spotify:album:4yP0hdKOZPNshxUOjY0cZj,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,15,True,{'spotify': 'https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm'},https://api.spotify.com/v1/albums/168CdR21lfn0TTyw1Pkdcm,168CdR21lfn0TTyw1Pkdcm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cc04ff3e70e146ba9abacf40', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cc04ff3e70e146ba9abacf40', 'width': 64}]",Fireworks & Rollerblades,2024-04-05,day,album,spotify:album:168CdR21lfn0TTyw1Pkdcm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET'}, 'href': 'https://api.spotify.com/v1/artists/22wbnEMDvgVIAGdFeek6ET', 'id': '22wbnEMDvgVIAGdFeek6ET', 'name': 'Benson Boone', 'type': 'artist', 'uri': 'spotify:artist:22wbnEMDvgVIAGdFeek6ET'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,16,True,{'spotify': 'https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr'},https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc', 'width': 64}]",folklore,2020-07-24,day,album,spotify:album:2fenSS68JI1h4Fo296JfGr,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,18,True,{'spotify': 'https://open.spotify.com/album/0aX0UXrHG2ceYIxTQcqJdA'},https://api.spotify.com/v1/albums/0aX0UXrHG2ceYIxTQcqJdA,0aX0UXrHG2ceYIxTQcqJdA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ed432d7df981360768dd5856', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ed432d7df981360768dd5856', 'width': 64}]",Cosa Nuestra,2024-11-15,day,album,spotify:album:0aX0UXrHG2ceYIxTQcqJdA,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq'}, 'href': 'https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq', 'id': '1mcTU81TzQhprhouKaTkpq', 'name': 'Rauw Alejandro', 'type': 'artist', 'uri': 'spotify:artist:1mcTU81TzQhprhouKaTkpq'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,20,True,{'spotify': 'https://open.spotify.com/album/40GMAhriYJRO1rsY4YdrZb'},https://api.spotify.com/v1/albums/40GMAhriYJRO1rsY4YdrZb,40GMAhriYJRO1rsY4YdrZb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029416ed64daf84936d89e671c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519416ed64daf84936d89e671c', 'width': 64}]",Views,2016-05-06,day,album,spotify:album:40GMAhriYJRO1rsY4YdrZb,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,21,True,{'spotify': 'https://open.spotify.com/album/27GWSFRITD8JJcSGMgEfTN'},https://api.spotify.com/v1/albums/27GWSFRITD8JJcSGMgEfTN,27GWSFRITD8JJcSGMgEfTN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0247e9618ef7411438f9c9478b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485147e9618ef7411438f9c9478b', 'width': 64}]",INCÓMODO,2024-08-22,day,album,spotify:album:27GWSFRITD8JJcSGMgEfTN,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5eumcnUkdmGvkvcsx1WFNG'}, 'href': 'https://api.spotify.com/v1/artists/5eumcnUkdmGvkvcsx1WFNG', 'id': '5eumcnUkdmGvkvcsx1WFNG', 'name': 'Tito Double P', 'type': 'artist', 'uri': 'spotify:artist:5eumcnUkdmGvkvcsx1WFNG'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,14,True,{'spotify': 'https://open.spotify.com/album/03guxdOi12XJbnvxvxbpwG'},https://api.spotify.com/v1/albums/03guxdOi12XJbnvxvxbpwG,03guxdOi12XJbnvxvxbpwG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b19ac38a59cddd80da3cedcb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b19ac38a59cddd80da3cedcb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b19ac38a59cddd80da3cedcb', 'width': 64}]",Submarine,2024-05-31,day,album,spotify:album:03guxdOi12XJbnvxvxbpwG,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx'}, 'href': 'https://api.spotify.com/v1/artists/2sSGPbdZJkaSE2AbcGOACx', 'id': '2sSGPbdZJkaSE2AbcGOACx', 'name': 'The Marías', 'type': 'artist', 'uri': 'spotify:artist:2sSGPbdZJkaSE2AbcGOACx'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/1JpJzuM4uncCfCimVozkmy'},https://api.spotify.com/v1/albums/1JpJzuM4uncCfCimVozkmy,1JpJzuM4uncCfCimVozkmy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732a2f9ea25cf65b5fb744b604', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022a2f9ea25cf65b5fb744b604', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512a2f9ea25cf65b5fb744b604', 'width': 64}]",111XPANTIA,2025-05-02,day,album,spotify:album:1JpJzuM4uncCfCimVozkmy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt'}, 'href': 'https://api.spotify.com/v1/artists/0ys2OFYzWYB5hRDLCsBqxt', 'id': '0ys2OFYzWYB5hRDLCsBqxt', 'name': 'Fuerza Regida', 'type': 'artist', 'uri': 'spotify:artist:0ys2OFYzWYB5hRDLCsBqxt'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,18,True,{'spotify': 'https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe'},https://api.spotify.com/v1/albums/2ODvWsOgouMbaA5xf0RkJe,2ODvWsOgouMbaA5xf0RkJe,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452', 'width': 64}]",Starboy,2016-11-25,day,album,spotify:album:2ODvWsOgouMbaA5xf0RkJe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,16,True,{'spotify': 'https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu'},https://api.spotify.com/v1/albums/3T4tUhGYeRNVUGevb0wThu,3T4tUhGYeRNVUGevb0wThu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96', 'width': 64}]",÷ (Deluxe),2017-03-03,day,album,spotify:album:3T4tUhGYeRNVUGevb0wThu,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'}, 'href': 'https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V', 'id': '6eUKZXaKkcviH0Ku9w2n3V', 'name': 'Ed Sheeran', 'type': 'artist', 'uri': 'spotify:artist:6eUKZXaKkcviH0Ku9w2n3V'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,21,True,{'spotify': 'https://open.spotify.com/album/338NDGMHtB4t5mp8RhMnh3'},https://api.spotify.com/v1/albums/338NDGMHtB4t5mp8RhMnh3,338NDGMHtB4t5mp8RhMnh3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025c0540f97b3f95e387a9b58e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515c0540f97b3f95e387a9b58e', 'width': 64}]",Mi Vida Mi Muerte,2025-02-14,day,album,spotify:album:338NDGMHtB4t5mp8RhMnh3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6pV5zH2LzjOUHaAvENdMMa'}, 'href': 'https://api.spotify.com/v1/artists/6pV5zH2LzjOUHaAvENdMMa', 'id': '6pV5zH2LzjOUHaAvENdMMa', 'name': 'Neton Vega', 'type': 'artist', 'uri': 'spotify:artist:6pV5zH2LzjOUHaAvENdMMa'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH'},https://api.spotify.com/v1/albums/3iPSVi54hsacKKl1xIR2eH,3iPSVi54hsacKKl1xIR2eH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fd8d7a8d96871e791cb1f626', 'width': 64}]",Short n' Sweet,2024-08-23,day,album,spotify:album:3iPSVi54hsacKKl1xIR2eH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B'}, 'href': 'https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B', 'id': '74KM79TiuVKeVCqs8QtB0B', 'name': 'Sabrina Carpenter', 'type': 'artist', 'uri': 'spotify:artist:74KM79TiuVKeVCqs8QtB0B'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,26,True,{'spotify': 'https://open.spotify.com/album/4tFsJC9jQ0Qjj7HSExhAdm'},https://api.spotify.com/v1/albums/4tFsJC9jQ0Qjj7HSExhAdm,4tFsJC9jQ0Qjj7HSExhAdm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737e0698e1398b6473de43f901', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027e0698e1398b6473de43f901', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517e0698e1398b6473de43f901', 'width': 64}]",The Life of a Showgirl (Track by Track Version),2025-10-02,day,album,spotify:album:4tFsJC9jQ0Qjj7HSExhAdm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
